"","facility","total","vaginal","vbac","cesarean","county","year"
"2180","Other",1,1,0,0,"Wasco County",2020
"2181","Total births",5618,3886,164,1568,"Washington County",2020
"2182","Providence St Vincent Medical Center",3503,2316,104,1083,"Washington County",2020
"2183","Tuality Community Hospital",578,423,14,141,"Washington County",2020
"2184","Kaiser Foundation Hospital - Westside",1434,1047,43,344,"Washington County",2020
"2185","Canyon Medical Center",39,38,1,0,"Washington County",2020
"2186","Home Birth (Planned)",56,55,1,0,"Washington County",2020
"2187","Home Birth (Unplanned)",6,5,1,0,"Washington County",2020
"2188","Other",2,2,0,0,"Washington County",2020
"2189","Total births",899,679,26,194,"Yamhill County",2020
"2190","Providence Newberg Medical Center",442,339,8,95,"Yamhill County",2020
"2191","Willamette Valley Medical Center",360,252,9,99,"Yamhill County",2020
"2192","Bella Vie Gentle Birth Center",43,41,2,0,"Yamhill County",2020
"2193","Andaluz - Dundee",34,28,6,0,"Yamhill County",2020
"2194","Home Birth (Planned)",20,19,1,0,"Yamhill County",2020
